Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,Product Link,"Rating (Not recommended, OK, Great, Excellent) ",What active ingredient (or ingredients) are present for the concern?,"If there is fragrance in the product, is it impacting the rating? (put N/A if no fragrance) "
Oily,Oiliness,No,Don't care,Severe,https://www.sephora.com/product/the-moisturizing-matte-lotion-P421249?skuId=1982057&icid2=products grid:p421249:product,Great,"Kaolin, Methyl Methacrylate Crosspolymer, Niacin (Niacinamide), Eucalyptus Globulus (Eucalyptus) Leaf Oil, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Laminaria Saccharina Extract, Salicornia Herbacea Extract",Yes
Oily,Oiliness,Yes,Don't care,Medium,https://www.sephora.com/product/skinfix-barrier-skin-barrier-lightweight-pore-refining-refillable-gel-cream-with-b-l3-P481739?skuId=2741007&icid2=products grid:p481739:product,Excellent,"Niacinamide, Jojoba oil, Zinc PCA, Camellia Sinensis Seed Extract, Lactic acid ",N/A
Oily,Oiliness,Yes,No fragrance,Severe,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Great,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Oily,Oiliness,No,Yes fragrance,Mild,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Excellent,"Hyaluronic acid, Niacinamide, sodium hyaluronate",N/A
Oily,Oiliness,Yes,Yes fragrance,Severe,https://www.sephora.com/product/herbivore-botanicals-aquarius-pore-purifying-clarity-cream-P474325?skuId=2469112&icid2=products grid:p474325:product,Ok,,No. Tanacetum Annuum Flower Oil is a very mild fragrance
Oily,Oiliness,No,Yes fragrance,Severe,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Great,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Oily,Oiliness,Yes,Don't care,Medium,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,Great,"Niacinamide, Magnesium sulfate, Citric acid",N/A
Oily,Acne,No,Don't care,Severe,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,Not recommended,,Yes
Oily,Acne,No,Don't care,Mild,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,Great,"Sodium Ascorbyl Phosphate, Salicylic acid, Madecassoside, Nelumbo Nucifera Flower Extract, Nymphaea Coerulea Flower Extract",N/A
Oily,Acne,Yes,No fragrance,Severe,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,Not recommended,,No
Oily,Acne,No,No fragrance,Medium,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Great,"Retinol, sulfur 3%, sodium hyaluronate",N/A
Oily,Acne,Yes,No fragrance,Severe,https://www.sephora.com/product/the-inkey-list-supersolutions-acne-clearing-moisturizer-2-novoretin-P506554?skuId=2673333&icid2=products grid:p506554:product,Ok,,N/A
Oily,Acne,No,Yes fragrance,Mild,https://www.sephora.com/product/ole-henriksen-cold-plunge-trade-pore-remedy-moisturizer-with-bha-P472050?skuId=2463388&icid2=products grid:p472050:product,Ok,,Yes
Oily,Acne,Yes,Yes fragrance,Severe,https://www.sephora.com/product/kiehls-expertly-clear-moisturizer-for-acne-prone-skin-with-salicylic-acid-P509461?skuId=2734788&icid2=products grid:p509461:product,Ok,,No
Oily,Dark Spots,No,Yes fragrance,Mild,https://www.sephora.com/product/caudalie-vinoperfect-instant-brightening-moisturizer-with-niacinamide-P471226?skuId=2450690&icid2=products grid:p471226:product,Great,"Niacinamide, Palmitoyl Grapevine Shoot Extract, Paeonia Lactiflora Root Extract",Yes
Oily,Dark Spots,Yes,Yes fragrance,Mild,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,Great,"Tetrahexyldecyl Ascorbate, 4-Butylresorcinol, Hexapeptide-2, Hydrolyzed Brassica Napus Seedcake Extract",No
Oily,Dark Spots,Yes,Don't care,Medium,https://www.sephora.com/product/c-rush-tm-brightening-gel-cr-me-P430337?skuId=2071751&icid2=products grid:p430337:product,Not recommended,,Yes
Oily,Dark Spots,No,No fragrance,Mild,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,Excellent,"Tetrahexyldecyl Ascorbate, 4-Butylresorcinol, Hexapeptide-2, Hydrolyzed Brassica Napus Seedcake Extract",N/A
Oily,Dark Spots,Yes,No fragrance,Mild,https://www.sephora.com/product/belif-aqua-bomb-brightening-vitamin-c-cream-P471535?skuId=2454627&icid2=products grid:p471535:product,Not recommended,,Yes
Oily,Dark Spots,No,No fragrance,Medium,https://www.sephora.com/product/c5-super-boost-vitamin-c-moisturizer-P501282?skuId=2533529&icid2=products grid:p501282:product,Excellent,"3-O-Ethyl Ascorbic Acid, Ascorbyl Glucoside, Acetyl sh-Hexapeptide-5 Amide Acetate, Oryza Sativa (Rice) Bran Extract",N/A
Oily,Dark Spots,No,Yes fragrance,Medium,https://www.sephora.com/product/major-fade-active-seal-dark-spot-vitamin-c-gel-moisturizer-P510561?skuId=2647568&icid2=products grid:p510561:product,Great,"Tetrahexyldecyl Ascorbate, 4-Butylresorcinol, Hexapeptide-2, Hydrolyzed Brassica Napus Seedcake Extract",N/A
Oily,Aging,Yes,No fragrance,Medium,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Not recommended,,yes
Oily,Aging,No,No fragrance,Mild,https://www.sephora.com/product/benefiance-wrinkle-smoothing-cream-enriched-P448202?skuId=2234102&icid2=products grid:p448202:product,Not recommended,,yes
Oily,Aging,Yes,Yes fragrance,Severe,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Ok,,Yes
Oily,Aging,Yes,Don't care,Severe,https://www.sephora.com/product/caudalie-resveratrol-lift-firming-cashmere-moisturizer-P467750?skuId=2744316&icid2=products grid:p467750:product,Not recommended,,Yes
