Skin type,Concern,Sensitivity,Fragrance Preference,Degree of Concern,"Rating (Not recommended, OK, Great, Excellent)",Product Link Copy,Skin_Type_P,Skincare_Concerns_P,Fragrance_Free_P,Cleaned_Skin_Type,Cleaned_Skincare_Concerns
Oily,Oiliness,No,Don't care,Severe,Great,https://www.sephora.com/product/the-moisturizing-matte-lotion-P421249?skuId=1982057&icid2=products grid:p421249:product,Oily,"Oiliness, Pores, Fine lines and wrinkles",False,oily,"Aging, Oiliness"
Oily,Oiliness,Yes,Don't care,Medium,Excellent,https://www.sephora.com/product/skinfix-barrier-skin-barrier-lightweight-pore-refining-refillable-gel-cream-with-b-l3-P481739?skuId=2741007&icid2=products grid:p481739:product,"Normal, Combination, and Oily","Pores, Uneven Texture, and Oiliness",True,"combination,normal,oily",Oiliness
Oily,Oiliness,Yes,No fragrance,Severe,Great,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture and Oiliness",False,"combination,dry,normal,oily","Dryness, Oiliness"
Oily,Oiliness,No,Yes fragrance,Mild,Excellent,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture and Oiliness",False,"combination,dry,normal,oily","Dryness, Oiliness"
Oily,Oiliness,Yes,Yes fragrance,Severe,Ok,https://www.sephora.com/product/herbivore-botanicals-aquarius-pore-purifying-clarity-cream-P474325?skuId=2469112&icid2=products grid:p474325:product,"Normal, Combination, and Oily","Pores, Dryness, and Oiliness",False,"combination,normal,oily","Dryness, Oiliness"
Oily,Oiliness,No,Yes fragrance,Severe,Great,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture and Oiliness",False,"combination,dry,normal,oily","Dryness, Oiliness"
Oily,Oiliness,Yes,Don't care,Medium,Great,https://www.sephora.com/product/the-inkey-list-omega-water-cream-moisturizer-P479354?skuId=2530756&icid2=products grid:p479354:product,"Normal, Dry, Combination, and Oily","Dryness, Uneven Texture and Oiliness",False,"combination,dry,normal,oily","Dryness, Oiliness"
Oily,Acne,No,Don't care,Severe,Not recommended,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,"Normal Oily
 Combination Dry  Sensitive",Acne and Pores,True,"combination,dry,normal,oily,sensitive",Acne
Oily,Acne,No,Don't care,Mild,Great,https://www.sephora.com/product/the-inkey-list-c-50-blemish-night-treatment-P469544?skuId=2425080&icid2=products grid:p469544:product,"Normal, Dry, Combination, and Oily","Pores, Uneven Texture, and Acne and Blemishes",True,"combination,dry,normal,oily",Acne
Oily,Acne,Yes,No fragrance,Severe,Not recommended,https://www.sephora.com/product/u-f-o-ultra-clarifying-face-oil-P410400?skuId=1842251&icid2=products grid:p410400:product,"Normal Oily
 Combination Dry  Sensitive",Acne and Pores,True,"combination,dry,normal,oily,sensitive",Acne
